step,rollout/ep_rew_mean
4096,0.0
8192,0.8571428656578064
12288,1.1803278923034668
16384,1.091953992843628
20480,1.2300000190734863
24576,1.3899999856948853
28672,1.2599999904632568
32768,1.4700000286102295
36864,1.5800000429153442
40960,1.6100000143051147
45056,1.5700000524520874
49152,1.590000033378601
53248,1.6100000143051147
57344,1.4800000190734863
61440,1.7200000286102295
65536,1.850000023841858
69632,1.7799999713897705
73728,1.9199999570846558
77824,2.1600000858306885
81920,1.9700000286102295
86016,2.069999933242798
90112,2.490000009536743
94208,2.4700000286102295
98304,2.4200000762939453
102400,2.309999942779541
106496,2.490000009536743
110592,2.180000066757202
114688,2.190000057220459
118784,2.1700000762939453
122880,2.369999885559082
126976,2.440000057220459
131072,2.4800000190734863
135168,2.740000009536743
139264,2.950000047683716
143360,2.950000047683716
147456,3.0799999237060547
151552,3.109999895095825
155648,2.9200000762939453
159744,2.859999895095825
163840,2.890000104904175
167936,2.8299999237060547
172032,2.8399999141693115
176128,3.1600000858306885
180224,3.4000000953674316
184320,3.75
188416,4.079999923706055
192512,4.46999979019165
196608,4.460000038146973
200704,4.699999809265137
204800,5.010000228881836
208896,5.050000190734863
212992,5.139999866485596
217088,5.210000038146973
221184,5.550000190734863
225280,5.739999771118164
229376,6.099999904632568
233472,6.090000152587891
237568,5.960000038146973
241664,6.340000152587891
245760,6.829999923706055
249856,7.090000152587891
253952,6.989999771118164
258048,7.349999904632568
262144,7.570000171661377
266240,7.639999866485596
270336,7.679999828338623
274432,7.650000095367432
278528,8.109999656677246
282624,8.25
286720,8.470000267028809
290816,8.859999656677246
294912,8.819999694824219
299008,8.760000228881836
303104,9.079999923706055
307200,9.460000038146973
311296,9.899999618530273
315392,10.210000038146973
319488,10.430000305175781
323584,10.239999771118164
327680,10.239999771118164
331776,10.289999961853027
335872,10.479999542236328
339968,10.619999885559082
344064,10.949999809265137
348160,11.140000343322754
352256,11.279999732971191
356352,11.130000114440918
360448,11.170000076293945
364544,11.300000190734863
368640,11.380000114440918
372736,11.829999923706055
376832,11.930000305175781
380928,12.15999984741211
385024,12.75
389120,13.010000228881836
393216,13.069999694824219
397312,12.9399995803833
401408,13.029999732971191
405504,13.270000457763672
409600,13.539999961853027
413696,13.489999771118164
417792,13.539999961853027
421888,13.729999542236328
425984,13.529999732971191
430080,13.520000457763672
434176,13.289999961853027
438272,13.350000381469727
442368,13.800000190734863
446464,13.859999656677246
450560,14.100000381469727
454656,14.9399995803833
458752,14.619999885559082
462848,15.220000267028809
466944,15.260000228881836
471040,15.40999984741211
475136,15.449999809265137
479232,15.979999542236328
483328,15.760000228881836
487424,15.84000015258789
491520,15.609999656677246
495616,16.059999465942383
499712,15.850000381469727
503808,15.4399995803833
507904,15.359999656677246
512000,15.5
516096,15.859999656677246
520192,15.510000228881836
524288,15.630000114440918
528384,16.09000015258789
532480,15.779999732971191
536576,16.260000228881836
540672,16.450000762939453
544768,16.43000030517578
548864,16.489999771118164
552960,16.459999084472656
557056,16.68000030517578
561152,19.280000686645508
565248,18.8700008392334
569344,18.760000228881836
573440,18.899999618530273
577536,18.790000915527344
581632,19.010000228881836
585728,18.950000762939453
589824,18.84000015258789
593920,19.110000610351562
598016,19.09000015258789
602112,19.110000610351562
606208,19.15999984741211
610304,19.06999969482422
614400,16.549999237060547
618496,16.950000762939453
622592,17.170000076293945
626688,17.43000030517578
630784,17.579999923706055
634880,17.90999984741211
638976,18.229999542236328
643072,18.68000030517578
647168,18.559999465942383
651264,18.690000534057617
655360,23.030000686645508
659456,23.059999465942383
663552,23.75
667648,23.8799991607666
671744,23.420000076293945
675840,25.43000030517578
679936,25.329999923706055
684032,27.049999237060547
688128,26.440000534057617
692224,26.1200008392334
696320,26.049999237060547
700416,28.239999771118164
704512,31.139999389648438
708608,29.229999542236328
712704,29.329999923706055
716800,31.309999465942383
720896,32.56999969482422
724992,32.869998931884766
729088,40.70000076293945
733184,43.86000061035156
737280,44.09000015258789
741376,47.439998626708984
745472,48.86000061035156
749568,49.040000915527344
753664,49.63999938964844
757760,47.2400016784668
761856,47.13999938964844
765952,44.09000015258789
770048,41.72999954223633
774144,39.7599983215332
778240,43.2599983215332
782336,41.61000061035156
786432,34.369998931884766
790528,32.0
794624,33.09000015258789
798720,27.90999984741211
802816,27.260000228881836
806912,26.8799991607666
811008,27.020000457763672
815104,27.399999618530273
819200,27.459999084472656
823296,28.200000762939453
827392,28.469999313354492
831488,31.350000381469727
835584,30.899999618530273
839680,31.450000762939453
843776,31.56999969482422
847872,34.22999954223633
851968,33.779998779296875
856064,33.779998779296875
860160,33.97999954223633
864256,34.68000030517578
868352,34.599998474121094
872448,34.099998474121094
876544,34.529998779296875
880640,34.310001373291016
884736,34.029998779296875
888832,36.150001525878906
892928,33.95000076293945
897024,33.88999938964844
901120,34.0
905216,33.95000076293945
909312,31.520000457763672
913408,31.200000762939453
917504,31.520000457763672
921600,34.439998626708984
925696,34.43000030517578
929792,35.06999969482422
933888,34.86000061035156
937984,34.869998931884766
942080,37.7599983215332
946176,38.11000061035156
950272,36.369998931884766
954368,36.619998931884766
958464,33.290000915527344
962560,33.43000030517578
966656,32.97999954223633
970752,33.13999938964844
974848,30.559999465942383
978944,33.310001373291016
983040,33.65999984741211
987136,33.599998474121094
991232,33.72999954223633
995328,33.2400016784668
999424,36.970001220703125
1003520,34.45000076293945
1007616,36.75
1011712,36.77000045776367
1015808,36.86000061035156
1019904,36.939998626708984
1024000,39.810001373291016
1028096,39.7400016784668
1032192,42.79999923706055
1036288,46.56999969482422
1040384,49.90999984741211
1044480,43.86000061035156
1048576,43.58000183105469
1052672,43.79999923706055
1056768,43.9900016784668
1060864,43.63999938964844
1064960,42.91999816894531
1069056,45.0
1073152,44.849998474121094
1077248,44.59000015258789
1081344,44.459999084472656
1085440,44.7599983215332
1089536,44.720001220703125
1093632,41.70000076293945
1097728,43.58000183105469
1101824,39.95000076293945
